label,row_idx,question,expected_ids,retrieved_ids,embed_time_ms,retrieval_time_ms,total_time_ms,hit@1,hit@5,hit@10,mrr,all_hit@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10,ndcg@1,ndcg@5,ndcg@10,map@1,map@5,map@10,top_k_accuracy@1,top_k_accuracy@5,top_k_accuracy@10,P_1,P_5,P_10,recall_1,recall_5,recall_10,ndcg_cut_1,ndcg_cut_5,ndcg_cut_10,map_cut_1,map_cut_5,map_cut_10,top_k_accuracy_1,top_k_accuracy_5,top_k_accuracy_10
single:float32,0,How is CATAPA’s mission reflected in its company culture and core values?,"['152610-StructuredElementChunker-1800-360-4000-0-markdown-True-1', '152610-StructuredElementChunker-1800-360-4000-0-markdown-True-4']","['152610-StructuredElementChunker-1800-360-4000-0-markdown-True-1', '152610-StructuredElementChunker-1800-360-4000-0-markdown-True-4', '152610-StructuredElementChunker-1800-360-4000-0-markdown-True-2', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-35', '152566-StructuredElementChunker-1800-360-4000-0-markdown-True-22', '152567-StructuredElementChunker-1800-360-4000-0-markdown-True-527', '152566-StructuredElementChunker-1800-360-4000-0-markdown-True-246', '152567-StructuredElementChunker-1800-360-4000-0-markdown-True-213', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-165', '152549-StructuredElementChunker-1800-360-4000-0-markdown-True-12']",879.0003059984883,242.72532800023328,1121.7256339987216,1,1,1,1.0,1.0,1.0,0.4,0.2,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
single:float32,1,How did CATAPA’s early history influence its current product focus and features?,"['152610-StructuredElementChunker-1800-360-4000-0-markdown-True-2', '152610-StructuredElementChunker-1800-360-4000-0-markdown-True-4']","['152565-StructuredElementChunker-1800-360-4000-0-markdown-True-12', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-25', '152567-StructuredElementChunker-1800-360-4000-0-markdown-True-7', '152566-StructuredElementChunker-1800-360-4000-0-markdown-True-7', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-7', '152570-StructuredElementChunker-1800-360-4000-0-markdown-True-7', '152567-StructuredElementChunker-1800-360-4000-0-markdown-True-520', '152567-StructuredElementChunker-1800-360-4000-0-markdown-True-584', '152610-StructuredElementChunker-1800-360-4000-0-markdown-True-2', '152610-StructuredElementChunker-1800-360-4000-0-markdown-True-1']",1238.3066849979514,106.60084600021946,1344.9075309981708,0,0,1,0.1111111111111111,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.18457569677956817,0.0,0.0,0.05555555555555555,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.18457569677956817,0.0,0.0,0.05555555555555555,0.0,0.0,1.0
single:float32,2,How does CATAPA’s micro team structure support its mission to improve payroll experience through technology?,"['152610-StructuredElementChunker-1800-360-4000-0-markdown-True-1', '152610-StructuredElementChunker-1800-360-4000-0-markdown-True-6']","['152610-StructuredElementChunker-1800-360-4000-0-markdown-True-2', '153096-StructuredElementChunker-1800-360-4000-0-markdown-True-6', '152902-StructuredElementChunker-1800-360-4000-0-markdown-True-6', '152610-StructuredElementChunker-1800-360-4000-0-markdown-True-1', '152610-StructuredElementChunker-1800-360-4000-0-markdown-True-5', '153047-StructuredElementChunker-1800-360-4000-0-markdown-True-17', '152902-StructuredElementChunker-1800-360-4000-0-markdown-True-1', '152610-StructuredElementChunker-1800-360-4000-0-markdown-True-4', '153090-StructuredElementChunker-1800-360-4000-0-markdown-True-11', '153097-StructuredElementChunker-1800-360-4000-0-markdown-True-8']",407.89178499835543,106.86253899984877,514.7543239982042,0,1,1,0.25,0.0,0.0,0.2,0.1,0.0,0.5,0.5,0.0,0.2640681225725909,0.2640681225725909,0.0,0.125,0.125,0.0,1.0,1.0,0.0,0.2,0.1,0.0,0.5,0.5,0.0,0.2640681225725909,0.2640681225725909,0.0,0.125,0.125,0.0,1.0,1.0
single:float32,3,Apa visi CATAPA dan bagaimana filosofi pohon ketapang mendukung visi tersebut?,"['152610-StructuredElementChunker-1800-360-4000-0-markdown-True-1', '152610-StructuredElementChunker-1800-360-4000-0-markdown-True-3']","['152610-StructuredElementChunker-1800-360-4000-0-markdown-True-3', '152858-StructuredElementChunker-1800-360-4000-0-markdown-True-1', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-93', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-391', '152836-StructuredElementChunker-1800-360-4000-0-markdown-True-1', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-275', '152570-StructuredElementChunker-1800-360-4000-0-markdown-True-175', '152837-StructuredElementChunker-1800-360-4000-0-markdown-True-1', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-411', '152892-StructuredElementChunker-1800-360-4000-0-markdown-True-1']",353.7649309982953,89.47754800101393,443.24247899930924,1,1,1,1.0,0.0,1.0,0.2,0.1,0.5,0.5,0.5,1.0,0.6131471927654584,0.6131471927654584,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.2,0.1,0.5,0.5,0.5,1.0,0.6131471927654584,0.6131471927654584,0.5,0.5,0.5,1.0,1.0,1.0
single:float32,4,Which roles and teams are involved in ensuring tax and employment regulation compliance within CATAPA?,"['152610-StructuredElementChunker-1800-360-4000-0-markdown-True-5', '152610-StructuredElementChunker-1800-360-4000-0-markdown-True-6']","['152566-StructuredElementChunker-1800-360-4000-0-markdown-True-67', '152610-StructuredElementChunker-1800-360-4000-0-markdown-True-5', '153104-StructuredElementChunker-1800-360-4000-0-markdown-True-24', '153112-StructuredElementChunker-1800-360-4000-0-markdown-True-33', '153105-StructuredElementChunker-1800-360-4000-0-markdown-True-6', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-12', '152609-StructuredElementChunker-1800-360-4000-0-markdown-True-6', '152566-StructuredElementChunker-1800-360-4000-0-markdown-True-35', '153112-StructuredElementChunker-1800-360-4000-0-markdown-True-71', '153112-StructuredElementChunker-1800-360-4000-0-markdown-True-7']",638.65089400133,90.75619700161042,729.4070910029404,0,1,1,0.5,0.0,0.0,0.2,0.1,0.0,0.5,0.5,0.0,0.38685280723454163,0.38685280723454163,0.0,0.25,0.25,0.0,1.0,1.0,0.0,0.2,0.1,0.0,0.5,0.5,0.0,0.38685280723454163,0.38685280723454163,0.0,0.25,0.25,0.0,1.0,1.0
single:float32,5,Mengapa pemahaman hak dan kewajiban pemotong pajak dianggap penting dan bagaimana CATAPA menyediakannya kepada pengguna?,"['152561-StructuredElementChunker-1800-360-4000-0-markdown-True-57', '152561-StructuredElementChunker-1800-360-4000-0-markdown-True-59', '152561-StructuredElementChunker-1800-360-4000-0-markdown-True-61']","['152561-StructuredElementChunker-1800-360-4000-0-markdown-True-59', '152561-StructuredElementChunker-1800-360-4000-0-markdown-True-52', '152561-StructuredElementChunker-1800-360-4000-0-markdown-True-57', '153112-StructuredElementChunker-1800-360-4000-0-markdown-True-30', '152561-StructuredElementChunker-1800-360-4000-0-markdown-True-54', '152561-StructuredElementChunker-1800-360-4000-0-markdown-True-58', '153112-StructuredElementChunker-1800-360-4000-0-markdown-True-32', '153147-StructuredElementChunker-1800-360-4000-0-markdown-True-5', '153112-StructuredElementChunker-1800-360-4000-0-markdown-True-16', '153104-StructuredElementChunker-1800-360-4000-0-markdown-True-26']",410.2220880013192,84.74738099903334,494.96946900035255,1,1,1,1.0,0.0,1.0,0.4,0.2,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347,0.7039180890341347,0.3333333333333333,0.5555555555555555,0.5555555555555555,1.0,1.0,1.0,1.0,0.4,0.2,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347,0.7039180890341347,0.3333333333333333,0.5555555555555555,0.5555555555555555,1.0,1.0,1.0
single:float32,6,Bagaimana informasi Pajak Penghasilan Pasal 21 disajikan CATAPA untuk mendukung pemahaman wajib pajak?,"['152561-StructuredElementChunker-1800-360-4000-0-markdown-True-55', '152561-StructuredElementChunker-1800-360-4000-0-markdown-True-57', '152561-StructuredElementChunker-1800-360-4000-0-markdown-True-52']","['152557-StructuredElementChunker-1800-360-4000-0-markdown-True-101', '152557-StructuredElementChunker-1800-360-4000-0-markdown-True-16', '152557-StructuredElementChunker-1800-360-4000-0-markdown-True-102', '152607-StructuredElementChunker-1800-360-4000-0-markdown-True-2', '152561-StructuredElementChunker-1800-360-4000-0-markdown-True-55', '152557-StructuredElementChunker-1800-360-4000-0-markdown-True-104', '152561-StructuredElementChunker-1800-360-4000-0-markdown-True-54', '152557-StructuredElementChunker-1800-360-4000-0-markdown-True-118', '152557-StructuredElementChunker-1800-360-4000-0-markdown-True-119', '152557-StructuredElementChunker-1800-360-4000-0-markdown-True-39']",408.25740399668575,81.80212499792106,490.0595289946068,0,1,1,0.2,0.0,0.0,0.2,0.1,0.0,0.3333333333333333,0.3333333333333333,0.0,0.18154179253735267,0.18154179253735267,0.0,0.06666666666666667,0.06666666666666667,0.0,1.0,1.0,0.0,0.2,0.1,0.0,0.3333333333333333,0.3333333333333333,0.0,0.18154179253735267,0.18154179253735267,0.0,0.06666666666666667,0.06666666666666667,0.0,1.0,1.0
single:float32,7,How does the Customer Request/Problem move from the business flow into the platform development process in CATAPA?,"['152605-StructuredElementChunker-1800-360-4000-0-markdown-True-1', '152605-StructuredElementChunker-1800-360-4000-0-markdown-True-3', '152605-StructuredElementChunker-1800-360-4000-0-markdown-True-7']","['152605-StructuredElementChunker-1800-360-4000-0-markdown-True-3', '152605-StructuredElementChunker-1800-360-4000-0-markdown-True-1', '152902-StructuredElementChunker-1800-360-4000-0-markdown-True-8', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-549', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-420', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-339', '153049-StructuredElementChunker-1800-360-4000-0-markdown-True-5', '152566-StructuredElementChunker-1800-360-4000-0-markdown-True-203', '152569-StructuredElementChunker-1800-360-4000-0-markdown-True-91', '153047-StructuredElementChunker-1800-360-4000-0-markdown-True-17']",458.8976189988898,90.39372199913487,549.2913409980247,1,1,1,1.0,0.0,1.0,0.4,0.2,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,0.7653606369886217,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,0.2,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,0.7653606369886217,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0
single:float32,8,"Why does CATAPA encourage checking alternative solutions before using traditional development, and how is this reflected in the development stages?","['152605-StructuredElementChunker-1800-360-4000-0-markdown-True-3', '152605-StructuredElementChunker-1800-360-4000-0-markdown-True-5', '152605-StructuredElementChunker-1800-360-4000-0-markdown-True-6']","['152605-StructuredElementChunker-1800-360-4000-0-markdown-True-3', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-14', '152569-StructuredElementChunker-1800-360-4000-0-markdown-True-91', '153047-StructuredElementChunker-1800-360-4000-0-markdown-True-17', '153035-StructuredElementChunker-1800-360-4000-0-markdown-True-2', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-2', '152902-StructuredElementChunker-1800-360-4000-0-markdown-True-8', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-12', '152605-StructuredElementChunker-1800-360-4000-0-markdown-True-5', '153067-StructuredElementChunker-1800-360-4000-0-markdown-True-107']",523.074043001543,89.41738000066835,612.4914230022114,1,1,1,1.0,0.0,1.0,0.2,0.2,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.46927872602275644,0.6105456988825855,0.3333333333333333,0.3333333333333333,0.40740740740740744,1.0,1.0,1.0,1.0,0.2,0.2,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.46927872602275644,0.6105456988825855,0.3333333333333333,0.3333333333333333,0.40740740740740744,1.0,1.0,1.0
single:float32,9,Mengapa sinkronisasi antar tim seperti PM dan UX dianggap penting dalam proses pengembangan?,"['152605-StructuredElementChunker-1800-360-4000-0-markdown-True-8', '152605-StructuredElementChunker-1800-360-4000-0-markdown-True-4', '152605-StructuredElementChunker-1800-360-4000-0-markdown-True-2']","['152605-StructuredElementChunker-1800-360-4000-0-markdown-True-8', '152566-StructuredElementChunker-1800-360-4000-0-markdown-True-40', '152566-StructuredElementChunker-1800-360-4000-0-markdown-True-66', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-267', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-519', '152566-StructuredElementChunker-1800-360-4000-0-markdown-True-196', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-513', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-119', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-552', '152565-StructuredElementChunker-1800-360-4000-0-markdown-True-423']",422.18191100255353,93.28865700081224,515.4705680033658,1,1,1,1.0,0.0,1.0,0.2,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0
